full_text,processed,predicted_label,predicted_probability_netral,predicted_probability_negatif,predicted_probability_positif
"Dan yang gw salut, kali ini Pak Anies dan tim mainnya cukup bersih banget. Yang kotor2nya paling di level yang bawah banget diluar tim inti (timnas amin). Itupun paling ejek2an sosmed doang.  Bahkan kali ini Anies cukup menjaga jarak ama ulama2 provokatif yang lalu2. Salut",gue salut kali anies tim mainnya bersih banget kotornya level banget diluar tim inti timnas amin itupun ejekan sosmed doang kali anies menjaga jarak ulama provokatif salut,Positif,0.000798279,0.057971347,0.94123036
@agamzet @agramadhaan @ccosrr @UpdateBolabola @love_gbk kalo gitu mending konser + timnas mainnya di gbk dua-duanya?,gbk mending konser timnas mainnya gbk duaduanya,Negatif,0.2016409,0.6661874,0.13217172
Pantes aja ntn timnas kor mainnya jelek bgt kmrn lawan yordan..trnyata krna emg ad masalah internal,menonton timnas kor mainnya jelek banget kemarin lawan yordantrnyata internal,Negatif,0.0060858973,0.988062,0.005852115
"@hari_coupetz @smpkcng @UpdateBolabola bener sih 😅 cuma kalo mau melebarkan konteksnya, timnas jg lanjutan kualifikasi pildun mainnya di bulan ini. malahan mepet sehari sama perkiraan hari pengumuman hasil akhir rekap KPU. itu sih yg juga jadi concern bang~",coupetz melebarkan konteksnya timnas lanjutan kualifikasi pildun mainnya mepet sehari perkiraan pengumuman hasil rekap kpu concern bang,Netral,0.9200287,0.053124085,0.02684723
"misal mereka bener main di indo, mainnya di JIS apa GBK ya? soalnya kalau Maret kan bentrok Ama timnas Indonesia",main indonesia mainnya jis apa-apa gbk maret bentrok timnas indonesia,Negatif,0.13712497,0.5097978,0.35307714
@Miduk17 @Ariantobudi5 Saya bangga saat Timnas kalah 3-1 dari Jepang sebab MAINNYA CANTIK.,bangga timnas kalah jepang mainnya cantik,Positif,0.16455302,0.26289028,0.5725567
@addlagii @Catatan_ali7 Bukan gitu.. 5tahunn lalu mainnya jg gini.. prabowo unggul. Kecurangn byk sama bgt lah kayak sekarang..2 kali ke MK 2 kali kalah.. makanya untuk ke3 dan kali ini anies jd pd pesimis.. kirain ada plot twist.. timnas amin nyiapin sesuatu.. mungkin pengawal dr luar,ali tahunn mainnya prabowo unggul kecurangn banget kayak kali kali kalah kali anies pesimis plot twist timnas amin nyiapin pengawal,Positif,0.049784016,0.38801,0.56220603
"Di TIMNAS sepak Bola saja sudah melakukan pondasi untuk perubahan,.agar Kedepan Indonesia Punya Timnas Yang Disegani Dunia,. Tapi malah memilih gaya mainnya Seperti Liga 2",timnas sepak bola pondasi perubahanagar kedepan indonesia timnas disegani dunia memilih gaya mainnya liga,Negatif,0.24466942,0.6749562,0.08037436
"@Indostransfer Memang dia jelek banget mainnya! Gak habis pikir bisa masuk timnas. Lamban,  rapuh, mudah ditembus. Perhatikan waktu lawan Australia waktu Piala Asia kmrn, 3 gol karena kelemahan Baggot gampang dieksploitasi.",jelek banget mainnya habis pikir-pikir masuk timnas lamban rapuh mudah ditembus perhatikan lawan australia piala asia kemarin gol kelemahan baggot gampang dieksploitasi,Negatif,0.0032142315,0.97889996,0.017885806
"@server_timnas @UpdateBolabola Nah..klo bek jangkung harus gini mainnya... Gk bole adu sprint... Tekel, body charge, duel  hrus kuat",timnas nahklo bek jangkung mainnya adu sprint tekel body charge duel kuat,Netral,0.6484757,0.28203818,0.069486074
"@dyotalaks @SiaranBolaLive @makanbolaID Masa sich ngab. Makanya sekarang kok ngamuk2 terus. Mungkin dia pingin timnas mainnya kaya bebek di tengah lapangan, jadi komplin Mulu si towel itu ya. 🤣🤣",ngab ngamuk pengin timnas mainnya kayak bebek lapangan komplin mulu towel,Negatif,0.052851625,0.8593212,0.08782726
"@AkunInstan @RhmnAndi @volleyballidn Fahri pemain timnas juga bareng sama mega brngkat duluan ke LN bulan september kmrin, dia malah bagus terus sm kaya mega. Cuma mmng mtchnya sulit diakses dan mainnya jam 11 mlem mulu. Dia posisnya sama kaya farhan tp skrg posisi no 3 trbaik urusan passing ngalahin libero lain",fahri pemain timnas bareng mega brngkat duluan ln september kemarin bagus kayak mega mmng mtchnya sulit diakses mainnya jam mlem mulu posisnya kayak farhan posisi no terbaik urusan passing mengalahkan libero,Negatif,0.0649943,0.8576588,0.07734695
"@Jerseyforum Pingin jersey timnas buatan Erspo bisa bikin timnas menangan dan mainnya keren. Karena jersey biasa aja sekalipun, kalo timnya menangan pasti banyak yang beli..   Sama 3 layer harga. Udah cukup itu aja 🎯",pengin jersey timnas buatan erspo timnas menangan mainnya keren-keren jersey timnya menangan beli layer harga,Positif,0.04097292,0.24807104,0.710956
@UpdateBolabola Kalo udah main di timnas khawatir dikatain pemain males. Do'i mainnya ga banyak lari. Simple tapi vital. Eksekusi bola matinya yahud.,main timnas khawatir dikatai pemain malas doi mainnya lari simple vital eksekusi bola matinya yahud,Negatif,0.34060282,0.5214164,0.1379808
timnas hoki bgt bisa dapet thom haye jago bener mainnya 😭,timnas hoki banget thom haye jago mainnya,Negatif,0.013798858,0.60076237,0.38543877
"@idextratime @bliblidotcom Ngeri bgt gaya mainnya haye , mimpi apa timnas punya diaspora kek gini 😭",ngeri banget gaya mainnya haye mimpi apa-apa timnas diaspora kayak,Negatif,0.02164802,0.68230706,0.29604495
@SiaranBolaLive Mainnya kayak mirip timnas Indonesia ya. Jangan2 pelatihnya memang bener2 jiplak permainan yang fantastis timnas Indonesia,mainnya kayak timnas indonesia jangan-jangan pelatihnya jiplak permainan fantastis timnas indonesia,Negatif,0.047829684,0.92821044,0.023959905
@mudasir_11 @indosupporter Pemain indonesia yang kebiasaan star syndrome kaya gini emang udah harusnya dibuang. Soalnya kalo masuk ke timnas biasanya mainnya kek tai,pemain indonesia kebiasaan star syndrome kayak dibuang masuk timnas mainnya kayak tahi,Negatif,0.075188905,0.90075606,0.024054963
"ngintip bundesliga ayah minjae mainnya beda sama pas di taeguk, gw rasa ada aura jelek yg nutupin pemain aboard pas balik ke timnas",mengintip bundesliga ayah minjae mainnya beda pas taeguk gue aura jelek menutup-nutupi pemain aboard pas timnas,Negatif,0.03413681,0.8815874,0.084275834
"Siapa yg kemarin nonton Timnas Indo lolos 16 besar Piala Asia di era Presiden Jokowi? Gimana, bangga kan? Hanya di era Jokowi l, jaya jaya jaya  Gitu kah mainnya? 🤣",kemarin menonton timnas indonesia lolos besar-besar piala asia era presiden jokowi bangga era jokowi jaya jaya jaya kah mainnya,Negatif,0.27584884,0.46020907,0.26394215
@derwustenfuchss @indosupporter Kalau benar spt itu artinya dia kurang jauh mainnya. Dulu Guss Hiddink jg pernah ngelatih Chelsea saat masih jd pelatih timnas Russia.,benar-benar mainnya guss hiddink ngelatih chelsea pelatih timnas russia,Negatif,0.4142839,0.42700234,0.15871373
"@Indostransfer Ni pelatih emg GG sih. Gak salah Borneo rekrut dan perpanjang ni pelatih 😁  Secara pola mainnya, bagus dan no doubt sih. Klo buat pelatih Timnas, cocok sih. Apalagi usia muda",pelatih salah borneo rekrut perpanjang pelatih pola mainnya bagus no doubt pelatih timnas cocok usia muda,Negatif,0.05672714,0.6318014,0.3114715
Musim ini memang seru Premier League punya Aston Villa La Liga punya Girona Bundesliga punya Leverkusen Indonesia punya Timnas Amin (POV:  Tim underdog yang mainnya lumayan bagus nan konsisten) #cumansekedarkomen #bukanpendukung01atau03apalagi02,musim seru premier league aston villa liga girona bundesliga leverkusen indonesia timnas amin pov tim underdog mainnya lumayan bagus konsisten,Positif,0.06323998,0.31688306,0.61987686
"Nontonin timnas volly Indonesia, mainnya bisa keren gitu ya",nontonin timnas volly indonesia mainnya keren-keren,Negatif,0.23960838,0.45797163,0.3024199
@barrudaks abis ini langsung ikut timnas ya? UPDATE KE AKU PLEASE TD GIMANA MAINNYA,habis langsung timnas update please mainnya,Negatif,0.18992089,0.6630317,0.14704747
@meta_parad44820 @idextratime Liat nanti wkwk. Diaspora era etho blm ada yg main dan liga nya msh kacau. Prestasi yg km banggakan itu cm timnas yg dilatih STY. yg bahkan cara mainnya udh berkembang dan bagus di AFF 2021 Singapore. Liga ga bikin etho kesorot cm timnas. Dan klo ngikutin timnas mah itu kerja STY,parad lihat wkwk diaspora era etho main liga kacau prestasi banggakan timnas dilatih sty mainnya berkembang bagus aff singapore liga etho kesorot timnas mengikuti timnas mah kerja sty,Negatif,0.029146584,0.80381423,0.16703914
"@Kim_TDH Tapi belum tahu 2 anaknya itu di usia berapa mainnya... klo U23, U20 or U17 harusnya dicek sama PSSI or tim pelatih... kalau memang punya kualitas untuk timnas kenapa engga...",tdh anaknya usia mainnya orang dicek pssi orang tim pelatih kualitas timnas,Negatif,0.18000324,0.6736696,0.14632717
"@JgnJudiOnline @Dw1_Haryant0 @pthlhd @indosupporter makanya nonton bola itu kalau mau di nilai jangan cmn liat goal2 doang, tp cara mainnya. lu harus sadar diri, negara lu selama ini stuck, baru skrng berani bermain secara modern. lu harus liat pelatih lokal di timnas usia aja cara mainnya gmn? sorry to say katrok.",haryant menonton bola nilai jangan-jangan cuman lihat goal doang mainnya lu sadar negara lu stuck berani bermain modern lu lihat pelatih lokal timnas usia mainnya sorry sayang katrok,Negatif,0.001672767,0.9956333,0.002693969
Timnas Amin mainnya cantik gak grasah grusuh kyk capres sebelah pas 🤣🤣🤣 Jgn di intimidasi di 14 Peb 2024 tetap 01. @AditBandit234 @AndyTjondro   @G0mb4k   @xquitavee,timnas amin mainnya cantik grasah grusuh kayak capres sebelah pas intimidasi peb,Negatif,0.27534595,0.6336337,0.09102036
"@Unterhose08 @Opariorio @idextratime @EmiratesFACup Enzo di timnas cemerlang mainnya karena ada Mac Allister, pun dengan si Caicedo mainnya bagus karena ada Mac Allister pas main di Brighton.  Nah skrng 2 orng itu tandeman di Chelsea. Mainnya masih on off, klo lg bagus ya bagus. Tp lebih sering off perform..angin2an blm konsisten",enzo timnas cemerlang mainnya mac allister caicedo mainnya bagus mac allister pas main brighton orang tandeman chelsea mainnya on off bagus bagus off performanginan konsisten,Positif,0.006480888,0.25676164,0.7367576
"@Aranaya1902 @Z_4bidin @indosupporter ya ga tau, gua ga ada kritik karena gua liat sendiri mainnya timnas beneran berkembamg dibanding sebelum sebelumnya",bidin gua kritik gua lihat mainnya timnas benaran berkembamg dibanding,Negatif,0.029888617,0.9542655,0.015845878
@FabHakim @Indostransfer main di klub pun banyak kebobolan nya faktor bek dan mainnya aga kurang setelah balik dari timnas butuh istirahat   wkwk,main klub kebobolan faktor bek mainnya aga timnas butuh istirahat wkwk,Netral,0.48788682,0.3924577,0.11965553
"@singeuri14 Tpi semoga mainnya serius buat test tim masing-masing, tpi gk tau kenapa udh pesimis duluan soalnya ini tim merah lucu tpi timnas indo jga gk kalah lucu sih *eh🤐",semoga mainnya serius test tim masingmasing pesimis duluan tim merah lucu timnas indonesia kalah lucu eh,Positif,0.27308524,0.35432607,0.3725887
"@tisadati @ruangtaktik wkwkwk sepakat, dulu cuma bisa bagian stopper sama sapu bersih bola aja, mana bisa suruh build up serangan sama true pass 😂 dulu aja saya pas 2010 bilang kalau timnas AFF 2010 mainnya biasa aja pada dihujat ama temen² saya, padahal emang biasa aja mainnya 😆",wkwkwk sepakat stopper sapu bersih bola suruh build up serangan true pas pas bilang-bilang timnas aff mainnya dihujat teman mainnya,Negatif,0.18676737,0.5353232,0.2779095
"@kumparan Wahh kok gini mainnya.  Timnas sudah mulai bagus, jgn karena 02 nnti kalah pnya niat buruk mau hancurkan Timnas",mainnya timnas bagus kalah niat buruk hancurkan timnas,Negatif,0.04789917,0.707642,0.24445884
"Titip peetanyaan utk pundit itu, min. Tolong tanyain, kenapa Vietnam kalau bertemu Indonesia mainnya jadi agresif, tengil bahkan cendrung kasar? Juga sering memancing-mancing emosi pemain² timnas Indonesia. Padahal bertemu tim lain, Vietnam bermain 'normal'.",titip peetanyaan pundit min tolong vietnam bertemu indonesia mainnya agresif tengil cendrung kasar memancingmancing emosi pemain timnas indonesia bertemu tim vietnam bermain normal,Netral,0.6843211,0.23731503,0.07836382
"@habilhudioro @CoachJustinL baru liat mainnya M Sihran enak ternyata. umur msh 24 jg. cuma emang postur terlalu kecil, tp bisa tuh utk timnas yg lagi ga ada pemain2 gesit dan cepat",lihat mainnya sihran enak umur postur kecil-kecil timnas pemain gesit cepat,Positif,0.01053024,0.16930178,0.820168
"@aarifbudiart @barcastuff_idn Flick bagus dalam mengimprove fitness dan stamina pemain, sesuai dgn gaya mainnya yg kuat high press dan cepat.. Di Timnas susah diterapin karna fitness dan stamina pemain tergantung pelatihan apa yg pemain dapatkan di klub asal masing² pemain",idn flick bagus mengimprove fitness stamina pemain sesuai gaya mainnya kuat high press cepat timnas susah diterapin fitness stamina pemain tergantung pelatihan apa-apa pemain dapatkan klub pemain,Negatif,0.025877684,0.6361256,0.3379967
"@SeputarMadrid Pemain muda tpi bkn pemain muda macam Nico Paz, Iker Bravo dan pemain muda biasanya. Tapi pemain muda macam vini, rodrygo, bellingham, camavinga pemain muda yg mainnya dewasa. Ga lama lgi bakal main di timnas prancis senior nih bocil",pemain muda pemain muda nico paz iker bravo pemain muda pemain muda vini rodrygo bellingham camavinga pemain muda mainnya dewasa main timnas prancis senior bocil,Negatif,0.33368245,0.44342473,0.22289287
"@kevinbahasbola Timnas Indo yg skuad nya tergolong muda dituntut mainnya kek timnas Argentina atau Prancis. Lawakan macam apa ini bung, termasuk bokap gw dia juga punya mindset yg gini juga😅",timnas indonesia skuad tergolong muda dituntut mainnya kayak timnas argentina prancis lawakan apa-apa bokap gue mindset,Positif,0.03132827,0.32091764,0.6477541
"@charliebaung @FaktaSepakbola Timnas itu mainnya di jawa,bali,paling jauh ya palembang..selain itu tdk akan mau🤣",timnas mainnya jawabalipaling palembangselain,Negatif,0.26002806,0.56405896,0.17591292
"@Indostransfer @mkrohman Nadeo dan Adam be like  Ya gini kita mainnya di timnas broo""""",nadeo adam be like mainnya timnas broo,Negatif,0.36520487,0.4639532,0.17084195
"@medioclubID bagusnya kemauan towel kita turutin aja, pecat sty terus ganti pelatih sesuai rekomendasi towel, tapi nanti kalo ternyata timnas mainnya jadi jelek towel dihukum tembak mati sebagai pertanggung jawaban",bagusnya kemauan towel turutin pecat sty ganti pelatih sesuai rekomendasi towel timnas mainnya jelek towel dihukum tembak mati pertanggung,Negatif,0.012114377,0.9517748,0.036110774
"@razakasri @medioclubID Lolos 16 besar loh, dan timnas mainnya ga kick and rush terus babak kedua udah ngos ngosan .  Gaada pemain titipan juga, squad termuda pula.  Kalo diliat dari 1 dekade terakhir timnas, nyangka ga bakal lolos 16 besar? Juara AFF aja kagak. Lolos piala asia aja baru setelah 2007.",lolos besar-besar timnas mainnya kick and rush babak ngos ngosan enggak ada pemain titipan squad termuda dekade timnas menyangka lolos besar-besar juara aff kagak lolos piala asia,Positif,0.07120023,0.287006,0.64179385
@afcasiancup Anjirrr gue kiraa korea bakalan yg juara😭 tpi timnas arab tuh emanggg bagus bgt mainnya,anjir gue kiraa korea juara timnas arab emanggg bagus banget mainnya,Positif,0.011398073,0.28053373,0.70806813
"@kegblgnunfaedh Serius nanya, kalo mainnya bagus gini ada kemungkinan buat masuk timnas sana gak?",serius mainnya bagus masuk timnas,Positif,0.076998234,0.4248427,0.49815905
"Timnas Korsel mainnya ga jelas, ga ada variasi serangan. Wajar kalau kalah lawan Jordan.",timnas korsel mainnya jelas-jelas variasi serangan wajar kalah lawan jordan,Negatif,0.051107656,0.9146535,0.034238845
imo jordan ini timnas yg mainnya bener2 konsisten dr awal sih,imo jordan timnas mainnya konsisten,Negatif,0.3418358,0.5250906,0.13307364
@Indostransfer Korsel jelek banget mainnya semenjak awal turnamen beruntung aja bisa sampai semifinal 😆 pantesan timnas sekelas Malaysia bisa nahan imbang mereka,korsel jelek banget mainnya semenjak turnamen beruntung semifinal pantesan timnas sekelas malaysia menahan imbang,Negatif,0.0056666066,0.98596257,0.008370779
Sebenernya mega udah terkenal sih di kalangan penikmat voli indo. Tapi mungkin buat orang awam/umum lebih kenal wilda atau nggak yolla yuliana karena lebih sering diundang di acara tv juga. Kalo aku dari dulu emang paling suka mainnya mega ini diantara pemain timnas lainnya,mega terkenal kalangan penikmat voli indonesia orang-orang awamumum kenal wilda yolla yuliana diundang acara tv suka mainnya mega pemain timnas,Negatif,0.24291478,0.46711603,0.2899692
"@karimamrullah82 @ainurohman Mas anda mainnya kurang jauh. Voli itu paling parah dan tertinggal federasinya dibanding PSSI dan PBSI😭. Mana ketumnya boomer antikritik jarang ngirim timnas apalagi putri ke turnamen inter, alasannya ga punya duit mulu!",mas mainnya voli parah tertinggal federasinya dibanding pssi pbsi ketumnya boomer antikritik jarang mengirim timnas putri turnamen inter alasannya duit mulu,Negatif,0.28576237,0.51237655,0.20186113
Baru sadar ini mainnya pake stat pemain irl sesuai timnas masing2 dan menang lawan jepang 💀 Jagonya berlipat lipat,sadar mainnya pakai stat pemain irl sesuai timnas menang lawan jepang jagonya berlipat lipat,Negatif,0.15545335,0.60197264,0.24257396
"Ya setidaknya bisa cetak 1 gol 👏 Tapi gregetan timnas dalam posisi ketinggalan gamau main pressing kayak lawan Vietnam kemarin Kalo udah posisi kalah ya all out aja, bikin foul terus biar irama mainnya Jepang juga terganggu. Kayak lawan Vietnam kemarin kan bikin banyak foul",cetak gol gregetan timnas posisi ketinggalan enggak mau main pressing kayak lawan vietnam kemarin posisi kalah all out foul irama mainnya jepang terganggu kayak lawan vietnam kemarin foul,Negatif,0.29785797,0.5794346,0.12270738
"Lolos atau enggak timnas Indo dr fase grup #AFCAsianCup2023 , apresiasi buat pemain, pelatih dan setiap elemen yg mempersiapkan timnas ini. Nggak nyangka aja. Timnas, ranking 140an FIFA, mainnya nggak kayak ‘timnas yg dulu gua tau’. Mental jg keras!! Salut lah!!",lolos timnas indonesia fase grup apresiasi pemain pelatih elemen timnas menyangka timnas ranking an fifa mainnya kayak timnas gua mental keras salut,Negatif,0.023588002,0.95735985,0.019052198
"@FaktaSepakbola Kalau kaya gini, Mereka mainnya pakai timnas Indo berarti ya ? Keren amet stats pemainnya kan juga dibawah"" daei negara lain. Apalagi Jepang.""",kayak mainnya pakai timnas indonesia keren-keren amet stats pemainnya dibawah daei negara jepang,Positif,0.100246094,0.42222556,0.4775283
"@mr_riopermana @roman_paqr @legislatweet Ya elah mainnya kurang jauh, jaman Pak Anies di Jakarta banyak banget perizinan yg diterbitkan untuk rumah ibadah baik gereja, vihara, pura sampai kuil. Timnas jg banyak yg nonis. Dan pendukung Pak Anies yg dilabelin radikal ga ada tuh yg protes. Itu baru namanya toleransi",riopermana paqr elah mainnya jaman anies jakarta banget perizinan diterbitkan rumah ibadah gereja vihara pura kuil timnas nonis pendukung anies dilabelin radikal protes namanya toleransi,Negatif,0.1619641,0.7447741,0.09326178
@Bali_Football habis nonton Piala Asia terus nonton Liga 1 rasanya jeblok bener. Ga yakin bakal bisa melahirkan pemain yg mainnya kayak timnas di Piala Asia kemaren~,football habis menonton piala asia menonton liga jeblok melahirkan pemain mainnya kayak timnas piala asia kemarin,Negatif,0.39477918,0.47265154,0.13256925
"@yourmaolanaa @noershall @Iniozan9 @idextratime wkwkwk ngeliat ettorito kek mainnya timnas italia jaman 2000an  gol 1, langsung bertahan, ulur waktu😂🤣",wkwkwk ettorito kayak mainnya timnas italia jaman an gol langsung bertahan ulur,Negatif,0.13526918,0.7615492,0.10318166
@simamaung Abang2an persib geus teu bisa diandelkeun... Dari tahun ke tahun pemain jeung pelatih jempolan datang dan pergi.tapi ya gitu2 aja mainnya... Mungkin manajemen persib ada niatan buat potong generasi kayak timnas atau psm lah di level klub mah.siapa tau bisa berubah...,abangan persib geus teu diandelkeun tahun-tahun tahun-tahun pemain jeung pelatih jempolan pergitapi mainnya manajemen persib niatan potong generasi kayak timnas psm level klub mahsiapa berubah,Negatif,0.11872655,0.73158646,0.149687
"@CTsubasa_indo Di bagian ini kurang masuk akal, kiper legendaris tapi mainnya di timnas kelompok umur",indonesia masuk akal kiper legendaris mainnya timnas kelompok umur,Negatif,0.21461855,0.5604625,0.22491899
@StatsRawon Bad news buat Persebaya dan Timnas (senior-U23) 😰. Semoga gak parah dan Andhika mainnya lebih tenang lagi,bad news persebaya timnas senioru semoga parah andhika mainnya tenang,Positif,0.16122738,0.37777814,0.46099448
@idextratime ini mainnya harus pakai timnas masing masing ya?,mainnya pakai timnas,Positif,0.12496784,0.4045244,0.47050777
@PKSejahtera Mudah2an timnas dah petain potensi kecurangan di 19 provinsi. Utk capai 50%+1 mungkin mainnya di situ. Bisa jadi penggelembungan or pengurangan suara.,mudah-mudahan timnas deh petain potensi kecurangan provinsi capai mainnya situ penggelembungan orang pengurangan suara,Positif,0.0023511378,0.16200164,0.8356472
"@idextratime Mari berandai-andai timnas mainnya di Asian Cup kaya di eAsian Cup. Mungkin belum sekarang, semoga tahun yang akan datang mainnya sekeren ini.   https://t.co/9ZDKGG3dTM",mari berandaiandai timnas mainnya asian cup kayak easian cup semoga tahun-tahun mainnya sekeren,Negatif,0.26009402,0.51420385,0.22570221
Andai saja timnas indo in real life mainnya kayak di e-football 😄,andai timnas indonesia real life mainnya kayak efootball,Negatif,0.12356976,0.8266422,0.04978805
Chelsea musim ini tanding sama timnas aja keknya bagusan mainnya timnas.,chelsea musim tanding timnas kayaknya bagusan mainnya timnas,Netral,0.81671447,0.1358929,0.047392722
"@idextratime korsel mainnya longball terus, udah kek era kegelapan timnas indo kita lawan siapa dah?",korsel mainnya longball kayak era kegelapan timnas indonesia lawan deh,Negatif,0.03086656,0.9312734,0.03786004
Ga boong ini dejavu kcc taun lalu sama fp yang timnas jordan terus dia di fiba ac mainnya BAGUS BANGET KYK 🤡🤡🤡,bohong dejavu kcc fp timnas jordan fiba ac mainnya bagus banget kayak,Positif,0.014536942,0.23857996,0.74688303
Edo abis balik dari timnas malah jadi tarkam gini mainnya wkwk,edo habis timnas tarkam mainnya wkwk,Negatif,0.12819995,0.7152884,0.15651163
"@aunrrahman bener sih, bahkan timnas aja yg peringkat bawah mainnya enak, sistematis banget. terus nonton liga 1 jadi agak gimana gitu",timnas peringkat mainnya enak sistematis banget menonton liga,Positif,0.0030295453,0.070568025,0.9264024
"Belom bisa move on dari permainan timnas kemaren, ini liat persib mainnya kaya apaan anjir😂",move on permainan timnas kemarin lihat persib mainnya kayak anjir,Negatif,0.35748768,0.4432492,0.19926319
kmrn nonton timnas trus skrg nonton liga 1 meni asa jauh gini mainnya,kemarin menonton timnas menonton liga meni asa mainnya,Negatif,0.28622827,0.5877999,0.12597181
"@idextratime korsel mainnya longball terus, udah kek era kegelapan timnas indo",korsel mainnya longball kayak era kegelapan timnas indonesia,Negatif,0.2582249,0.6452816,0.096493445
"Setelah sekian lama ga nonton liga indo, terus ngebandingin sama permainan Timnas di Asian Cup lngsng mikir Main apaan nih?"" BUSET JAUH BNGT.  Nonton liga indo vibesnya kek nonton fun football, masih ga keliatan profesional²nya. Mainnya kek sesuka pemainnya/ kek ga pake taktik""",sekian menonton liga indonesia ngebandingin permainan timnas asian cup lngsng mikir main buset banget menonton liga indonesia vibesnya kayak menonton fun football profesionalnya mainnya kayak sesuka pemainnya kayak pakai taktik,Negatif,0.050173096,0.89167917,0.0581478
