text,label,processed
"Dengan ajaib kuota hilang, usage diberikan bahkan bukti penggunaan tidak melebihi batas. <URL>",negative,"['ajaib', 'kuota', 'hilang', 'usage', 'bukti', 'penggunaan', 'tidak', 'melebihi', 'batas', 'url']"
"Bertahun tahun pakai <PROVIDER_NAME>. Masa aktif sampai 2018 karena seringnya ""bayar"" untuk dapat pelayanan yang memuaskan",negative,"['bertahun', 'tahun-tahun', 'pakai', 'providername', 'aktif', 'bayar', 'pelayanan', 'memuaskan']"
cepat banget data <PROVIDER_NAME> habis <URL>,negative,"['cepat', 'banget', 'data', 'providername', 'habis', 'url']"
<USER_MENTION>: Apa gak kurang tolol namanya. <PROVIDER_NAME> provider gak ada urusan sama semua Chat App! ,negative,"['usermention', 'apa-apa', 'enggak', 'tolol', 'namanya', 'providername', 'provider', 'enggak', 'urusan', 'chat', 'app']"
"mungkin <PROVIDER_NAME> benar, berarti tinggal #whatsappNotSave <URL>",negative,"['providername', 'benar-benar', 'tinggal', 'url']"
"Hore,,, Akhirnya ada sinyal 4G <PROVIDER_NAME> di Sambu",positive,"['hore', 'sinyal', 'providername', 'sambu']"
Alhamdulilah dikunjungi para vendor mitra <PROVIDER_NAME> ke #klinikKUMSda… <URL>,positive,"['alhamdulilah', 'dikunjungi', 'vendor', 'mitra', 'providername', 'url']"
Terlambat ikut <PRODUCT_NAME>... Jelaslah jaringan <PROVIDER_NAME> lemot...,negative,"['terlambat', 'productname', 'jaringan', 'providername', 'lemot']"
"<PROVIDER_NAME> tega, Menyampaikan pesan kok suka telat,, bikin #BAPER",negative,"['providername', 'tega', 'pesan', 'suka', 'telat']"
Jaringan 4G kecepatan 2G <PROVIDER_NAME>,negative,"['jaringan', 'kecepatan', 'providername']"
Paket extra combo kok lemot ya <PROVIDER_NAME>,negative,"['paket', 'extra', 'combo', 'lemot', 'providername']"
Kenapa! Masa buka Facebook aja gak bisa <PROVIDER_NAME>,negative,"['buka', 'facebook', 'enggak', 'providername']"
"Rugi isi kuota <PROVIDER_NAME> jaringannya busuk banget, dirugikan ..",negative,"['rugi', 'isi', 'kuota', 'providername', 'jaringannya', 'busuk', 'banget', 'dirugikan']"
solidaritas perlu.. tapi perasaan lebih penting lagi dari solidaritas.  ngomong dong <PROVIDER_NAME>,negative,"['solidaritas', 'perasaan', 'solidaritas', 'mengomong', 'providername']"
<PROVIDER_NAME> 1berbagi tanpa kuota 2 berbagai kapan saja <PROVIDER_NAME> bagi berkah <USER_MENTION>,positive,"['providername', 'berbagi', 'kuota', 'providername', 'berkah', 'usermention']"
"<PROVIDER_NAME> bagi berkah 1video ngabuburit dengan anak, video sahur bersama keluarga, video pakai baju koko baru, <USER_MENTION>",positive,"['providername', 'berkah', 'video', 'ngabuburit', 'anak-anak', 'video', 'sahur', 'keluarga', 'video', 'pakai', 'baju', 'koko', 'usermention']"
Koneksi <PROVIDER_NAME> di daerah #sawojajar kota #malang seminggu ini lemot parah ? lagi gangguan kah? <PROVIDER_NAME>Care <PROVIDER_NAME>,negative,"['koneksi', 'providername', 'daerah', 'kota', 'seminggu', 'lemot', 'parah', 'gangguan', 'kah', 'providernamecare', 'providername']"
"Saya pakai <PROVIDER_NAME>, meski <PROVIDER_NAME> lebih greget dalam hal network and speed, setidaknya <PROVIDER_NAME> lebih irit buat anak kere seperti saya.",positive,"['pakai', 'providername', 'providername', 'greget', 'network', 'and', 'speed', 'providername', 'irit', 'anak-anak', 'kere']"
#Boikot <PROVIDER_NAME> harusnya #boikot<PROVIDER_NAME> kartu mahal!. lebih bagus juga <PROVIDER_NAME>,positive,"['providername', 'providername', 'kartu', 'mahal', 'bagus', 'providername']"
<PROVIDER_NAME> <PROVIDER_NAME> Berbagi berkah,positive,"['providername', 'providername', 'berbagi', 'berkah']"
Baru isi kuota ... tapi baru 2 menit langsung habis kacau. <PROVIDER_NAME> <URL>,negative,"['isi', 'kuota', 'menit', 'langsung', 'habis', 'kacau', 'providername', 'url']"
Sinyalmu jelek banget sih akhir akhir ini <PROVIDER_NAME>,negative,"['sinyalmu', 'jelek', 'banget', 'providername']"
#Boikot<PROVIDER_NAME> Pergerakan masif PKI dan antek2nya melalui iklan <PROVIDER_NAME>. Mari hancurkan PKI melalui #Boikot<PROVIDER_NAME>,negative,"['providername', 'pergerakan', 'masif', 'pki', 'anteknya', 'iklan', 'providername', 'mari', 'hancurkan', 'pki', 'providername']"
Alhamdulillah masih #setia dengan <PROVIDER_NAME>.. jangan menari di tabuhan gendang orang lain.. selamat isya dan tarawih... ,positive,"['alhamdulillah', 'providername', 'jangan-jangan', 'menari', 'tabuhan', 'gendang', 'orang-orang', 'selamat', 'isya', 'tarawih']"
"Aku kira diganti pulsaku. udah komplain sana sini, kok cuma php, <PROVIDER_NAME>",negative,"['diganti', 'pulsaku', 'komplain', 'php', 'providername']"
Sinyalmu kenapa <PROVIDER_NAME>,negative,"['sinyalmu', 'providername']"
<PROVIDER_NAME> musuh Ulama #Boikot<PROVIDER_NAME> <URL>,negative,"['providername', 'musuh', 'ulama', 'providername', 'url']"
RT <USER_MENTION>: sudah lama gak pakai <PROVIDER_NAME>,negative,"['usermention', 'enggak', 'pakai', 'providername']"
Saya gak benci tapi kelakuan <USER_MENTION> yang bikin #Boikot<PROVIDER_NAME>  Pendukung #PKI coba kamu lihat iklan <PROVIDER_NAME> ada gambar palu arit,negative,"['enggak', 'benci', 'kelakuan', 'usermention', 'providername', 'pendukung', 'coba', 'lihat', 'iklan', 'providername', 'gambar', 'palu', 'arit']"
RT <USER_MENTION>: <USER_MENTION> HT Nya #PuasPake<PROVIDER_NAME> Noh. aku pakek <PROVIDER_NAME> Gimana thu..…,negative,"['usermention', 'usermention', 'hati', 'providername', 'noh', 'pakai', 'providername']"
"<PROVIDER_NAME> bisa gak sih kuota 4G digabung saja sama 3G, sayang gak terpakai mubazir... Mubazir itu temennya setan lho!! <PROVIDER_NAME> ",negative,"['providername', 'enggak', 'kuota', 'digabung', 'sayang', 'enggak', 'terpakai', 'mubazir', 'mubazir', 'temannya', 'setan', 'lho', 'providername']"
"Rejeki pejet2.., semoga ke depan dapat samsung J5..#<PRODUCT_NAME> <PROVIDER_NAME> Medan, Indonesia <URL>",positive,"['rejeki', 'pejet', 'semoga', 'samsung', 'jproductname', 'providername', 'medan', 'indonesia', 'url']"
Asik juga kencang begini ? <PROVIDER_NAME> <URL>,positive,"['asik', 'kencang', 'providername', 'url']"
Buat apa beli paket 4G jika jaringan internetnya masih Edge <PROVIDER_NAME> <PROVIDER_NAME>,negative,"['apa-apa', 'beli', 'paket', 'jaringan', 'internetnya', 'edge', 'providername', 'providername']"
Bagaimana ini <PROVIDER_NAME> 4G tapi lemot,negative,"['providername', 'lemot']"
Nelepon ke sesama <PROVIDER_NAME> pulsa 20.000 cuma cukup buat 23 menit? <PROVIDER_NAME> BANGSAT..............<PROVIDER_NAME>…<URL>,negative,"['nelepon', 'providername', 'pulsa', 'menit', 'providername', 'bangsatprovidernameurl']"
Signal 4G <PROVIDER_NAME> bekasi kenapa? Gak bisa internetan sama sekali dari tadi subuh,negative,"['signal', 'providername', 'bekasi', 'enggak', 'internetan', 'subuh']"
<PROVIDER_NAME> tarif Internet Super Kuota naik lagi. Negara lain internet makin murah kok <PROVIDER_NAME> makin mahal? ,negative,"['providername', 'tarif', 'internet', 'super', 'kuota', 'negara', 'internet', 'murah', 'providername', 'mahal']"
JARINGAN <PROVIDER_NAME> tidak ada SINYAL untuk wilayah Sindangkasih - ciamis <PROVIDER_NAME> ,negative,"['jaringan', 'providername', 'tidak', 'sinyal', 'wilayah', 'sindangkasih', 'ciamis', 'providername']"
<PROVIDER_NAME> terimakasih <PROVIDER_NAME> akhirnya menang pointastic deal dari <PROVIDER_NAME> #PointasticDeal <PROVIDER_NAME> <URL>,positive,"['providername', 'terimakasih', 'providername', 'menang', 'pointastic', 'deal', 'providername', 'providername', 'url']"
"<PROVIDER_NAME> kalo bukan karena nomer sudah lama, pasti sudah dibuang saja dari dulu. <PROVIDER_NAME>",negative,"['providername', 'bukan', 'nomer', 'dibuang', 'providername']"
<PROVIDER_NAME> jadi yang dizalimi bukan cuma saya ya? <PROVIDER_NAME> <URL>,negative,"['providername', 'dizalimi', 'bukan', 'providername', 'url']"
mantap ini. #4g #LTE <PROVIDER_NAME> <URL>,positive,"['mantap', 'providername', 'url']"
Sinyal jelek! Komplain gak direspon! #Boikot<PROVIDER_NAME> <PROVIDER_NAME> <URL>,negative,"['sinyal', 'jelek', 'komplain', 'enggak', 'direspon', 'providername', 'providername', 'url']"
"Alhamdulillah mulai hari, ini 2 kartu telpon dan 2 kartu internetan kami gak pakai <PROVIDER_NAME> lagi. #Boikot<PROVIDER_NAME>",negative,"['alhamdulillah', 'kartu', 'telpon', 'kartu', 'internetan', 'enggak', 'pakai', 'providername', 'providername']"
#Boikot<PROVIDER_NAME> bentuk tekanan masyarakat agar perusahaan publik sekelas <PROVIDER_NAME> lebih berhati-hati ke depannya… <URL>,negative,"['providername', 'bentuk', 'tekanan', 'masyarakat', 'perusahaan', 'publik', 'sekelas', 'providername', 'berhatihati', 'depannya', 'url']"
<USER_MENTION> <USER_MENTION> <PROVIDER_NAME> Alhamdulillah saya gak pakai <PROVIDER_NAME> dari dulu #Boikot<PROVIDER_NAME> ,negative,"['usermention', 'usermention', 'providername', 'alhamdulillah', 'enggak', 'pakai', 'providername', 'providername']"
Saya dulu memimpikan pakai <PROVIDER_NAME>.  Tapi sekarang gak mimpi lagi.  Setia saja sama <PROVIDER_NAME> walau mahal sedikit. Ikutan #Boikot<PROVIDER_NAME>,positive,"['memimpikan', 'pakai', 'providername', 'enggak', 'mimpi', 'setia', 'providername', 'mahal', 'ikutan', 'providername']"
"jauh sebelum ada aksi #Boikot<PROVIDER_NAME> saya tidak pakai <PROVIDER_NAME> lagi,  sebab <PROVIDER_NAME> masih lebih bagus maaf bukan iklan tapi kenyataan",positive,"['aksi', 'providername', 'tidak', 'pakai', 'providername', 'providername', 'bagus', 'maaf', 'bukan', 'iklan', 'kenyataan']"
<PROVIDER_NAME> yang terbaik ini peserta nya… <URL>,positive,"['providername', 'terbaik', 'peserta', 'url']"
RT <USER_MENTION>: Teman sehari hari. #<PROVIDER_NAME> <PROVIDER_NAME> #<PROVIDER_NAME> #telecommunications… <URL>,positive,"['usermention', 'teman', 'sehari', 'providername', 'providername', 'providername', 'url']"
<PROVIDER_NAME> jelek banget sinyalnya <PROVIDER_NAME>,negative,"['providername', 'jelek', 'banget', 'sinyalnya', 'providername']"
"Saya bisa ke Sydney karena program <PROVIDER_NAME> & itu GRATIS! ada 22 Mahasiswa. Belajar dn liburan, kalian para hacker intropeksi sana",positive,"['sydney', 'program', 'providername', 'gratis', 'mahasiswa', 'belajar', 'liburan', 'hacker', 'intropeksi']"
Internet mahal turunkan harga paket <PROVIDER_NAME> ,negative,"['internet', 'mahal', 'turunkan', 'harga', 'paket', 'providername']"
Selalu pakai <PROVIDER_NAME> belum pernah pakai <PROVIDER_NAME> dan merasakan <PROVIDER_NAME>lemot Meski <PROVIDER_NAME>mahal tapi dibarengi dengan kualitas,positive,"['pakai', 'providername', 'belum', 'pakai', 'providername', 'merasakan', 'providernamelemot', 'providernamemahal', 'dibarengi', 'kualitas']"
"Webnya <PROVIDER_NAME> dibajak ya?  Cie dibajak. Semoga habis ini paket2, spam2 dan promo2nya makin subur.  <PROVIDER_NAME>",negative,"['webnya', 'providername', 'dibajak', 'cie', 'dibajak', 'semoga', 'habis', 'paket', 'spam', 'promonya', 'subur', 'providername']"
CS <PROVIDER_NAME> <PROVIDER_NAME> emang paling fast response sama keluhan konsumen. Beda dengan operator sebelah! #opinipenjualpulsa,positive,"['cs', 'providername', 'providername', 'fast', 'response', 'keluhan', 'konsumen', 'beda', 'operator', 'sebelah']"
"Ini prinsip soalnya <PROVIDER_NAME> lebih murah dari <PROVIDER_NAME>, masalah sinyal disini Alhamdulillah kencang karena di kota besar kok",positive,"['prinsip', 'providername', 'murah', 'providername', 'sinyal', 'alhamdulillah', 'kencang', 'kota', 'besar-besar']"
Terbaik Buat <PROVIDER_NAME> <PROVIDER_NAME>,positive,"['terbaik', 'providername', 'providername']"
Kembali ke paketan <PROVIDER_NAME> <PROVIDER_NAME>,positive,"['paketan', 'providername', 'providername']"
<PROVIDER_NAME> Mantap di Sumedang <PROVIDER_NAME> ,positive,"['providername', 'mantap', 'sumedang', 'providername']"
"<PROVIDER_NAME> semakin kesini semakin mahal, jaringannya 4G tapi lelet, pesan masukku penuh isinya pesan promo yang nyedot pulsa semua <PROVIDER_NAME>",negative,"['providername', 'kesini', 'mahal', 'jaringannya', 'lelet', 'pesan', 'masukku', 'penuh', 'isinya', 'pesan', 'promo', 'nyedot', 'pulsa', 'providername']"
Tolong dong kensinya di benerin di wilayah keramat jati. Kenapa lemot !!!! <PROVIDER_NAME> <PRODUCT_NAME> <PROVIDER_NAME>,negative,"['tolong', 'kensinya', 'benerin', 'wilayah', 'keramat', 'jati', 'lemot', 'providername', 'productname', 'providername']"
"Sinyal kami paling kuat KATANYA. internetku di jakarta lemot parah, 3g aja gak dapat. makin hari makin jadi ini provider <PROVIDER_NAME> <PROVIDER_NAME>",negative,"['sinyal', 'kuat', 'internetku', 'jakarta', 'lemot', 'parah', 'enggak', 'provider', 'providername', 'providername']"
Keamanan <PROVIDER_NAME> dong yang harus ditingkatkan! Bikin rugi pelanggan aja..!! <URL>,negative,"['keamanan', 'providername', 'ditingkatkan', 'rugi', 'pelanggan', 'url']"
harga jual & jumlah per rupiah dari kilobyte internet... memang <PROVIDER_NAME> juara mahalnya sih tsel vs <PROVIDER_NAME> <PROVIDER_NAME> ,negative,"['harga', 'jual', 'rupiah', 'kilobyte', 'internet', 'providername', 'juara', 'mahalnya', 'tsel', 'vs', 'providername', 'providername']"
<PROVIDER_NAME> <PROVIDER_NAME> kenapa jaringan 4g di sembungan bangunjiwo kasihan bantul sudah 3minggu sangat tidak stabil. kuota <PROVIDER_NAME> terbuang,negative,"['providername', 'providername', 'jaringan', 'sembungan', 'bangunjiwo', 'kasihan', 'bantul', 'minggu', 'tidak', 'stabil', 'kuota', 'providername', 'terbuang']"
<PROVIDER_NAME> <PROVIDER_NAME> apakah setelah mendapat banyak customer sekarang 4G di Sembungan Bangunjiwo Jogja jadi gak stabil?,negative,"['providername', 'providername', 'customer', 'sembungan', 'bangunjiwo', 'jogja', 'enggak', 'stabil']"
Sinyal macam apa ini? Ping game aja segede itu. Sinyalnya seperti tai. <PROVIDER_NAME> ,negative,"['sinyal', 'apa-apa', 'ping', 'game', 'segede', 'sinyalnya', 'tahi', 'providername']"
lebih baik <PROVIDER_NAME> ,positive,['providername']
Malas banget yang 12Gb jadi 6Gb <PROVIDER_NAME> masalahnya harga sama mahalnya - jaringannya sama dan free YouTubenya gak terpakai jamnya hadeh,negative,"['malas', 'banget', 'gb', 'gb', 'providername', 'harga', 'mahalnya', 'jaringannya', 'free', 'youtubenya', 'enggak', 'terpakai', 'jamnya', 'hadeh']"
Yang gratisan memang menyenangkan <PROVIDER_NAME> <PRODUCT_NAME> <PRODUCT_NAME> #kuotagratis <URL> ,positive,"['gratisan', 'menyenangkan', 'providername', 'productname', 'productname', 'url']"
Pindah provider saja kali ya buat internetan #kuning lemot... Dengar dari teman si #biru lebih bagus <PROVIDER_NAME> <PROVIDER_NAME>,positive,"['pindah', 'provider', 'kali', 'internetan', 'lemot', 'dengar', 'teman', 'bagus', 'providername', 'providername']"
"tolong lakukan reset di nomor saya  Jaringan lemah, memakan waktu lama untuk open page web #LEMOT #JARINGAN #LTE <PROVIDER_NAME> <PROVIDER_NAME>",negative,"['tolong', 'lakukan', 'reset', 'nomor', 'jaringan', 'lemah', 'memakan', 'open', 'page', 'web', 'providername', 'providername']"
<PROVIDER_NAME> <PROVIDER_NAME> yg semakin kekinian bikin keki.,positive,"['providername', 'providername', 'kekinian', 'keki']"
kecepatan internet di ciwidey segini...  mantap <PROVIDER_NAME> #4glte <USER_MENTION> <URL> …,positive,"['kecepatan', 'internet', 'ciwidey', 'segini', 'mantap', 'providername', 'usermention', 'url']"
"Jaringan 4g <PROVIDER_NAME> di cimahi kenapa yah,  kok lambat ?, sudah 4 hari ini.  Tapi kalo di kota bandung lancar jaya.. ",negative,"['jaringan', 'providername', 'cimahi', 'lambat', 'kota', 'bandung', 'lancar', 'jaya']"
"<PROVIDER_NAME> parah, cuma bisa di 3G <PROVIDER_NAME> <PROVIDER_NAME>",negative,"['providername', 'parah', 'providername', 'providername']"
<PROVIDER_NAME> Koneksi 4G rasa GPRS <PROVIDER_NAME> ,negative,"['providername', 'koneksi', 'gprs', 'providername']"
Kapan nih akses data di kecamatan cisewu kabupaten garut bisa 4G,negative,"['akses', 'data', 'kecamatan', 'cisewu', 'kabupaten', 'garut']"
<PROVIDER_NAME> <PROVIDER_NAME>4GLTE <PROVIDER_NAME> #BOGOR #AREA  <URL> … UDAH 3 BULAN TIDAK ADA TANGGAPAN YG JELAS ,negative,"['providername', 'providernameglte', 'providername', 'url', 'tidak', 'tanggapan', 'jelas-jelas']"
"tidak direkomendasikan, baru coba paket <PROVIDER_NAME> mingguan, tes pakai twitter 30menit pulsa terus berkurang, langsung unreg. <PROVIDER_NAME>",negative,"['tidak', 'direkomendasikan', 'coba', 'paket', 'providername', 'mingguan', 'tes', 'pakai', 'twitter', 'menit', 'pulsa', 'berkurang', 'langsung', 'unreg', 'providername']"
Nonton gratis dibayarin <PROVIDER_NAME> poin  <PROVIDER_NAME> <PROVIDER_NAME>poin ,positive,"['menonton', 'gratis', 'dibayarin', 'providername', 'poin', 'providername', 'providernamepoin']"
"Belum lama pakai <PROVIDER_NAME>, alhamdulillah selalu bermanfaat sinyalnya. #gsm #handphone <PROVIDER_NAME> #Simpati",positive,"['belum', 'pakai', 'providername', 'alhamdulillah', 'bermanfaat', 'sinyalnya', 'providername']"
Terimakasih <PROVIDER_NAME> <URL> ,positive,"['terimakasih', 'providername', 'url']"
Makin mantap saja si <PROVIDER_NAME>. Sekali SMS tarifnya 300. ,positive,"['mantap', 'providername', 'sms', 'tarifnya']"
"alhamdulillah sudah beres pakai <PROVIDER_NAME> <PROVIDER_NAME>, daripada nunggu konfirmasi <PROVIDER_NAME> yg gak akan pernah datang. #janji… <URL>",positive,"['alhamdulillah', 'beres', 'pakai', 'providername', 'providername', 'menunggu', 'konfirmasi', 'providername', 'enggak', 'url']"
<PROVIDER_NAME> terimakasih <PROVIDER_NAME> akhirnya menang <PRODUCT_NAME> dari <PROVIDER_NAME>  #<PRODUCT_NAME> <PROVIDER_NAME> ,positive,"['providername', 'terimakasih', 'providername', 'menang', 'productname', 'providername', 'productname', 'providername']"
Asik juga kencang begini <PROVIDER_NAME> ,positive,"['asik', 'kencang', 'providername']"
Terimakasih ya <PROVIDER_NAME> gratis 4Gnya ayo buruan upgrade <PRODUCT_NAME>,positive,"['terimakasih', 'providername', 'gratis', 'gnya', 'ayo', 'buruan', 'upgrade', 'productname']"
"Upload video 1GB kurang dari 4 menit, memang mantab ini kecepatan <PROVIDER_NAME>",positive,"['upload', 'video', 'gb', 'menit', 'mantab', 'kecepatan', 'providername']"
Dapat bonus kuota 2GB dan 100 menit nelpon ke semua operator dari <PROVIDER_NAME>  <PROVIDER_NAME> <PRODUCT_NAME> <URL> ,positive,"['bonus', 'kuota', 'gb', 'menit', 'nelpon', 'operator', 'providername', 'providername', 'productname', 'url']"
Kuota masih AMAN <PROVIDER_NAME> #capture #kuotaaman Di Kota Mamuju <URL> ,positive,"['kuota', 'aman', 'providername', 'kota', 'mamuju', 'url']"
Masih ada yang hemat <PROVIDER_NAME>,positive,"['hemat', 'providername']"
Pakai paket <PRODUCT_NAME> <PROVIDER_NAME> irit.  <PROVIDER_NAME> <PROVIDER_NAME> <URL> ,positive,"['pakai', 'paket', 'productname', 'providername', 'irit', 'providername', 'providername', 'url']"
"dibuang sayang karena terlalu setia, lagipula nomernya bagus  <PROVIDER_NAME> <PROVIDER_NAME> <URL> ",positive,"['dibuang', 'sayang', 'setia', 'lagipula', 'nomernya', 'bagus', 'providername', 'providername', 'url']"
Baru merasakan segitu besarnya ping.. 36604 ribu lumayanlah buat bukber <PROVIDER_NAME> <PROVIDER_NAME>,positive,"['merasakan', 'segitu', 'besarnya', 'ping', 'ribu', 'lumayanlah', 'bukber', 'providername', 'providername']"
Itu yang pada nulis disertai hashtag <PROVIDER_NAME>Lemot hidupnya dimana sih? Saya di Ungaran sini kok pakai <PROVIDER_NAME> lancar2 aja tuh.,positive,"['menulis', 'disertai', 'hashtag', 'providernamelemot', 'hidupnya', 'dimana-mana', 'ungaran', 'pakai', 'providername', 'lancar']"
Makanya pakai <PROVIDER_NAME> 60 ribu dapet 9giga. <PROVIDER_NAME> <PROVIDER_NAME>dihack <PROVIDER_NAME> <PROVIDER_NAME>mahal,positive,"['pakai', 'providername', 'ribu', 'giga', 'providername', 'providernamedihack', 'providername', 'providernamemahal']"
mending pindah ke <PROVIDER_NAME> aja <PROVIDER_NAME>,positive,"['mending', 'pindah', 'providername', 'providername']"
"Saya pakai <PRODUCT_NAME> <PROVIDER_NAME> <PROVIDER_NAME> karena jelas, terjangkau .. pake <PROVIDER_NAME> <PROVIDER_NAME> <PROVIDER_NAME> gak jelas, mahal",positive,"['pakai', 'productname', 'providername', 'providername', 'jelas-jelas', 'terjangkau', 'pakai', 'providername', 'providername', 'providername', 'enggak', 'jelas-jelas', 'mahal']"
"Siapa yang mau ditelpon, mumpung ada gratisan nih ...  <PROVIDER_NAME>",positive,"['ditelpon', 'mumpung', 'gratisan', 'providername']"
Tumben <PROVIDER_NAME> murah hati padaKu #onlyForU Jangan2 semua pelanggan diginikan.,positive,"['tumben', 'providername', 'murah', 'hati-hati', 'padaku', 'jangan-jangan', 'pelanggan', 'dibeginikan']"
"Canggih nih, nambah hari malah nambah kuotanya . #kuota <PROVIDER_NAME> <PRODUCT_NAME> #4g <URL> ",positive,"['canggih', 'bertambah', 'bertambah', 'kuotanya', 'providername', 'productname', 'url']"
